Crop,N,P,K,pH,soil_moisture,Fertilizer
banana,190,46,310,6.6,75,Urea + MOP + Organic Manure
pulses,30,63,29,6.0,50,Organic Manure + SSP
tomato,109,51,100,6.4,55,Urea + DAP + Potash
groundnut,24,68,57,5.7,51,Gypsum + SSP
cotton,70,46,110,6.6,49,Ammonium Sulphate + SSP + MOP
maize,91,57,68,6.5,63,Urea + DAP + Potash
cotton,88,32,95,6.5,47,Ammonium Sulphate + SSP + MOP
wheat,114,52,49,7.4,57,Urea + SSP + MOP
tomato,109,56,104,6.4,62,Urea + DAP + Potash
banana,201,50,299,6.7,71,Urea + MOP + Organic Manure
banana,207,48,296,7.4,72,Urea + MOP + Organic Manure
maize,98,63,60,6.7,55,Urea + DAP + Potash
banana,191,47,308,6.9,75,Urea + MOP + Organic Manure
cotton,88,50,101,6.8,45,Ammonium Sulphate + SSP + MOP
pulses,46,79,24,6.7,54,Organic Manure + SSP
pulses,48,71,23,6.6,54,Organic Manure + SSP
maize,104,67,70,6.3,56,Urea + DAP + Potash
pulses,50,65,28,6.2,55,Organic Manure + SSP
sugarcane,160,70,110,6.8,72,Urea + DAP + Potash
sugarcane,145,58,124,6.9,68,Urea + DAP + Potash
cotton,80,44,109,7.4,55,Ammonium Sulphate + SSP + MOP
pulses,30,76,29,6.3,56,Organic Manure + SSP
sugarcane,140,59,118,6.6,66,Urea + DAP + Potash
wheat,123,40,39,7.2,56,Urea + SSP + MOP
wheat,129,56,50,7.0,55,Urea + SSP + MOP
pulses,41,78,26,6.8,51,Organic Manure + SSP
sugarcane,148,50,124,7.2,69,Urea + DAP + Potash
pulses,36,75,23,6.8,58,Organic Manure + SSP
maize,95,54,79,6.4,63,Urea + DAP + Potash
wheat,117,42,40,7.1,55,Urea + SSP + MOP
cotton,75,32,96,7.3,55,Ammonium Sulphate + SSP + MOP
wheat,133,45,47,6.6,58,Urea + SSP + MOP
sugarcane,141,70,113,6.9,75,Urea + DAP + Potash
banana,206,56,293,6.7,77,Urea + MOP + Organic Manure
maize,99,60,69,6.8,57,Urea + DAP + Potash
groundnut,27,52,53,5.6,49,Gypsum + SSP
banana,197,55,294,7.5,71,Urea + MOP + Organic Manure
banana,208,53,305,6.5,75,Urea + MOP + Organic Manure
sugarcane,154,56,128,7.2,69,Urea + DAP + Potash
pulses,42,73,28,6.2,57,Organic Manure + SSP
potato,146,92,125,6.5,67,Urea + DAP + MOP
maize,101,67,69,6.5,60,Urea + DAP + Potash
cotton,87,33,96,7.4,55,Ammonium Sulphate + SSP + MOP
cotton,78,38,94,7.4,45,Ammonium Sulphate + SSP + MOP
groundnut,29,52,65,5.7,49,Gypsum + SSP
cotton,78,33,97,7.5,50,Ammonium Sulphate + SSP + MOP
groundnut,25,62,62,6.2,55,Gypsum + SSP
pulses,42,62,34,6.9,55,Organic Manure + SSP
wheat,117,53,32,6.9,60,Urea + SSP + MOP
wheat,139,51,49,7.1,55,Urea + SSP + MOP
banana,205,48,292,7.2,80,Urea + MOP + Organic Manure
groundnut,28,69,59,5.6,52,Gypsum + SSP
cotton,82,49,94,7.1,48,Ammonium Sulphate + SSP + MOP
sugarcane,149,66,118,6.6,65,Urea + DAP + Potash
wheat,130,43,41,7.1,59,Urea + SSP + MOP
banana,204,52,306,7.4,73,Urea + MOP + Organic Manure
banana,201,45,310,7.0,70,Urea + MOP + Organic Manure
rice,96,63,80,6.8,69,Urea + DAP + MOP
wheat,126,48,45,7.4,51,Urea + SSP + MOP
rice,92,56,75,6.1,65,Urea + DAP + MOP
banana,197,44,294,6.6,74,Urea + MOP + Organic Manure
maize,96,69,62,6.1,61,Urea + DAP + Potash
banana,205,54,305,7.2,76,Urea + MOP + Organic Manure
maize,100,63,70,6.4,64,Urea + DAP + Potash
tomato,110,50,110,6.5,55,Urea + DAP + Potash
sugarcane,160,70,114,6.7,68,Urea + DAP + Potash
wheat,106,55,41,6.9,50,Urea + SSP + MOP
rice,97,63,75,6.8,68,Urea + DAP + MOP
banana,192,43,302,6.5,79,Urea + MOP + Organic Manure
rice,84,54,85,6.4,69,Urea + DAP + MOP
tomato,114,67,107,6.2,59,Urea + DAP + Potash
potato,139,80,112,6.5,68,Urea + DAP + MOP
maize,104,70,65,6.3,55,Urea + DAP + Potash
rice,85,67,83,6.6,62,Urea + DAP + MOP
cotton,83,43,98,7.3,46,Ammonium Sulphate + SSP + MOP
groundnut,26,54,64,5.8,49,Gypsum + SSP
groundnut,27,67,55,5.5,49,Gypsum + SSP
maize,105,53,67,6.2,61,Urea + DAP + Potash
rice,81,70,79,6.0,66,Urea + DAP + MOP
potato,140,84,114,6.1,63,Urea + DAP + MOP
banana,195,60,308,6.9,77,Urea + MOP + Organic Manure
groundnut,24,54,64,6.0,46,Gypsum + SSP
potato,144,96,130,5.5,61,Urea + DAP + MOP
sugarcane,144,60,129,7.4,66,Urea + DAP + Potash
cotton,88,30,91,7.4,48,Ammonium Sulphate + SSP + MOP
sugarcane,146,67,121,7.0,68,Urea + DAP + Potash
tomato,108,66,96,6.1,62,Urea + DAP + Potash
potato,149,96,117,5.9,69,Urea + DAP + MOP
banana,197,45,290,7.2,79,Urea + MOP + Organic Manure
tomato,113,61,108,6.4,64,Urea + DAP + Potash
sugarcane,150,62,129,7.2,70,Urea + DAP + Potash
tomato,107,54,107,6.3,62,Urea + DAP + Potash
cotton,72,49,107,6.7,51,Ammonium Sulphate + SSP + MOP
sugarcane,152,64,122,7.0,67,Urea + DAP + Potash
maize,91,65,69,6.7,65,Urea + DAP + Potash
rice,82,62,89,6.0,69,Urea + DAP + MOP
sugarcane,146,62,126,6.6,69,Urea + DAP + Potash
groundnut,21,56,68,5.6,46,Gypsum + SSP
wheat,132,48,36,6.8,59,Urea + SSP + MOP
wheat,122,40,43,7.0,58,Urea + SSP + MOP
potato,144,90,122,6.3,61,Urea + DAP + MOP
rice,89,65,80,6.5,69,Urea + DAP + MOP
potato,140,80,128,6.1,60,Urea + DAP + MOP
groundnut,20,59,53,6.1,52,Gypsum + SSP
wheat,127,60,38,7.3,55,Urea + SSP + MOP
cotton,87,37,94,7.0,55,Ammonium Sulphate + SSP + MOP
maize,91,51,73,6.6,60,Urea + DAP + Potash
maize,91,52,68,6.8,64,Urea + DAP + Potash
banana,193,53,304,7.3,78,Urea + MOP + Organic Manure
cotton,79,38,107,7.0,54,Ammonium Sulphate + SSP + MOP
potato,133,94,123,6.0,69,Urea + DAP + MOP
maize,107,62,70,6.3,62,Urea + DAP + Potash
pulses,37,63,38,6.4,60,Organic Manure + SSP
wheat,135,57,42,7.0,52,Urea + SSP + MOP
maize,99,64,74,6.5,62,Urea + DAP + Potash
cotton,90,30,110,7.3,48,Ammonium Sulphate + SSP + MOP
maize,101,62,69,6.1,65,Urea + DAP + Potash
potato,140,84,128,6.1,62,Urea + DAP + MOP
maize,101,56,69,6.1,58,Urea + DAP + Potash
banana,206,50,297,6.6,74,Urea + MOP + Organic Manure
wheat,112,45,41,7.0,54,Urea + SSP + MOP
sugarcane,146,65,114,6.8,72,Urea + DAP + Potash
tomato,116,65,99,6.2,61,Urea + DAP + Potash
groundnut,28,62,53,5.7,46,Gypsum + SSP
wheat,107,43,42,6.7,60,Urea + SSP + MOP
wheat,120,49,34,7.0,55,Urea + SSP + MOP
cotton,72,33,103,7.4,47,Ammonium Sulphate + SSP + MOP
maize,99,58,79,6.9,59,Urea + DAP + Potash
sugarcane,140,67,126,6.7,69,Urea + DAP + Potash
rice,87,65,70,6.5,60,Urea + DAP + MOP
wheat,119,57,30,7.2,57,Urea + SSP + MOP
groundnut,23,62,50,5.6,51,Gypsum + SSP
potato,137,83,120,6.1,60,Urea + DAP + MOP
rice,94,53,76,6.1,68,Urea + DAP + MOP
pulses,47,70,25,6.7,52,Organic Manure + SSP
groundnut,22,67,65,5.9,50,Gypsum + SSP
sugarcane,143,60,130,6.9,73,Urea + DAP + Potash
sugarcane,154,50,128,6.8,67,Urea + DAP + Potash
potato,136,87,129,6.3,70,Urea + DAP + MOP
rice,86,50,77,6.9,65,Urea + DAP + MOP
pulses,45,78,40,6.3,54,Organic Manure + SSP
rice,91,54,71,6.0,69,Urea + DAP + MOP
cotton,74,35,94,7.0,55,Ammonium Sulphate + SSP + MOP
pulses,44,73,31,6.5,57,Organic Manure + SSP
tomato,100,52,102,6.9,57,Urea + DAP + Potash
banana,205,59,296,7.4,70,Urea + MOP + Organic Manure
wheat,106,55,38,6.6,60,Urea + SSP + MOP
groundnut,23,67,62,6.0,52,Gypsum + SSP
wheat,120,47,45,7.1,50,Urea + SSP + MOP
potato,131,98,115,5.8,67,Urea + DAP + MOP
cotton,73,46,100,7.3,47,Ammonium Sulphate + SSP + MOP
maize,90,58,64,6.9,57,Urea + DAP + Potash
wheat,105,45,38,6.6,56,Urea + SSP + MOP
cotton,77,47,93,6.9,46,Ammonium Sulphate + SSP + MOP
groundnut,26,65,54,5.7,53,Gypsum + SSP
tomato,115,70,110,6.6,55,Urea + DAP + Potash
tomato,105,52,96,6.0,57,Urea + DAP + Potash
groundnut,21,63,55,6.4,51,Gypsum + SSP
banana,207,51,300,7.2,76,Urea + MOP + Organic Manure
sugarcane,153,65,124,6.8,75,Urea + DAP + Potash
wheat,117,41,38,6.9,50,Urea + SSP + MOP
groundnut,25,65,60,5.8,55,Gypsum + SSP
cotton,72,34,90,7.0,48,Ammonium Sulphate + SSP + MOP
potato,139,80,126,5.9,62,Urea + DAP + MOP
tomato,115,57,106,6.5,62,Urea + DAP + Potash
pulses,37,62,28,6.7,60,Organic Manure + SSP
groundnut,27,50,59,5.6,51,Gypsum + SSP
maize,98,51,63,6.3,61,Urea + DAP + Potash
groundnut,26,57,53,6.0,52,Gypsum + SSP
banana,206,56,306,6.8,71,Urea + MOP + Organic Manure
groundnut,24,59,56,6.4,54,Gypsum + SSP
pulses,47,67,28,6.2,55,Organic Manure + SSP
banana,197,41,309,7.5,71,Urea + MOP + Organic Manure
tomato,104,53,103,6.5,59,Urea + DAP + Potash
sugarcane,142,66,120,6.7,68,Urea + DAP + Potash
banana,193,58,296,7.3,74,Urea + MOP + Organic Manure
maize,99,54,79,7.0,55,Urea + DAP + Potash
potato,147,82,128,6.2,69,Urea + DAP + MOP
tomato,120,53,92,6.9,64,Urea + DAP + Potash
rice,95,53,80,6.8,65,Urea + DAP + MOP
cotton,86,43,90,6.6,49,Ammonium Sulphate + SSP + MOP
maize,106,63,72,6.4,57,Urea + DAP + Potash
pulses,39,79,36,6.3,59,Organic Manure + SSP
wheat,118,57,41,6.9,58,Urea + SSP + MOP
banana,197,56,309,7.1,72,Urea + MOP + Organic Manure
wheat,106,53,31,6.7,52,Urea + SSP + MOP
banana,207,55,310,6.9,73,Urea + MOP + Organic Manure
sugarcane,149,56,129,7.3,72,Urea + DAP + Potash
potato,150,91,121,5.9,67,Urea + DAP + MOP
maize,94,50,70,6.7,64,Urea + DAP + Potash
rice,96,70,73,6.7,70,Urea + DAP + MOP
tomato,102,70,105,6.1,61,Urea + DAP + Potash
pulses,49,71,36,6.8,51,Organic Manure + SSP
pulses,39,62,37,6.1,50,Organic Manure + SSP
sugarcane,141,67,128,6.7,74,Urea + DAP + Potash
tomato,102,61,103,6.7,64,Urea + DAP + Potash
sugarcane,143,54,119,6.7,72,Urea + DAP + Potash
pulses,47,60,28,6.5,58,Organic Manure + SSP
tomato,112,70,107,6.5,61,Urea + DAP + Potash
pulses,32,63,30,6.3,50,Organic Manure + SSP
sugarcane,141,51,121,6.9,72,Urea + DAP + Potash
cotton,81,31,103,6.5,48,Ammonium Sulphate + SSP + MOP
cotton,84,47,103,6.7,48,Ammonium Sulphate + SSP + MOP
wheat,140,50,47,6.8,50,Urea + SSP + MOP
tomato,113,54,96,6.1,63,Urea + DAP + Potash
sugarcane,148,68,128,7.3,74,Urea + DAP + Potash
groundnut,22,54,69,6.0,52,Gypsum + SSP
cotton,89,41,105,6.8,53,Ammonium Sulphate + SSP + MOP
potato,135,93,127,6.3,68,Urea + DAP + MOP
pulses,37,73,29,6.6,56,Organic Manure + SSP
groundnut,23,51,50,6.1,49,Gypsum + SSP
tomato,111,60,103,6.3,58,Urea + DAP + Potash
banana,199,46,308,6.9,74,Urea + MOP + Organic Manure
groundnut,21,52,50,6.2,48,Gypsum + SSP
wheat,132,59,35,7.4,51,Urea + SSP + MOP
tomato,101,66,90,6.9,55,Urea + DAP + Potash
rice,89,58,79,6.8,63,Urea + DAP + MOP
sugarcane,140,63,125,7.1,71,Urea + DAP + Potash
potato,132,82,119,5.8,69,Urea + DAP + MOP
cotton,85,45,95,7.1,50,Ammonium Sulphate + SSP + MOP
cotton,74,36,100,7.4,49,Ammonium Sulphate + SSP + MOP
banana,195,45,302,7.0,71,Urea + MOP + Organic Manure
pulses,35,78,35,6.7,54,Organic Manure + SSP
sugarcane,146,57,129,7.1,74,Urea + DAP + Potash
cotton,74,46,110,6.7,45,Ammonium Sulphate + SSP + MOP
potato,145,91,112,6.1,60,Urea + DAP + MOP
tomato,105,53,102,6.1,63,Urea + DAP + Potash
wheat,138,48,37,7.2,60,Urea + SSP + MOP
groundnut,27,67,70,6.3,50,Gypsum + SSP
cotton,85,38,101,7.4,53,Ammonium Sulphate + SSP + MOP
potato,134,80,119,5.6,66,Urea + DAP + MOP
potato,130,92,129,6.2,61,Urea + DAP + MOP
rice,84,65,73,6.2,68,Urea + DAP + MOP
maize,93,59,80,6.5,59,Urea + DAP + Potash
sugarcane,160,50,123,7.3,68,Urea + DAP + Potash
rice,98,62,70,7.0,64,Urea + DAP + MOP
rice,95,59,87,6.4,62,Urea + DAP + MOP
sugarcane,158,54,116,7.2,71,Urea + DAP + Potash
maize,95,57,64,6.0,65,Urea + DAP + Potash
potato,130,82,112,6.5,60,Urea + DAP + MOP
maize,102,54,61,6.9,63,Urea + DAP + Potash
banana,191,57,301,7.0,78,Urea + MOP + Organic Manure
banana,194,59,292,7.0,71,Urea + MOP + Organic Manure
cotton,75,41,103,6.7,46,Ammonium Sulphate + SSP + MOP
banana,210,47,298,6.5,71,Urea + MOP + Organic Manure
tomato,120,53,109,6.4,55,Urea + DAP + Potash
maize,97,56,78,6.9,65,Urea + DAP + Potash
wheat,109,47,30,6.9,50,Urea + SSP + MOP
groundnut,27,62,59,6.5,55,Gypsum + SSP
maize,97,65,70,6.1,62,Urea + DAP + Potash
potato,141,83,129,5.7,62,Urea + DAP + MOP
cotton,81,48,96,7.1,52,Ammonium Sulphate + SSP + MOP
rice,82,54,90,6.4,65,Urea + DAP + MOP
rice,83,59,72,6.2,66,Urea + DAP + MOP
potato,136,87,115,6.4,67,Urea + DAP + MOP
tomato,117,67,91,7.0,64,Urea + DAP + Potash
rice,94,63,80,6.3,60,Urea + DAP + MOP
tomato,113,67,110,6.9,58,Urea + DAP + Potash
sugarcane,157,60,112,6.9,67,Urea + DAP + Potash
wheat,128,55,35,7.1,54,Urea + SSP + MOP
wheat,113,44,40,7.1,60,Urea + SSP + MOP
groundnut,29,53,53,6.3,53,Gypsum + SSP
potato,131,94,129,5.6,64,Urea + DAP + MOP
rice,90,55,71,6.7,62,Urea + DAP + MOP
banana,205,59,298,7.1,80,Urea + MOP + Organic Manure
sugarcane,141,50,112,7.1,67,Urea + DAP + Potash
sugarcane,158,70,125,6.9,66,Urea + DAP + Potash
pulses,38,61,20,6.9,58,Organic Manure + SSP
rice,94,62,79,6.7,64,Urea + DAP + MOP
banana,191,48,307,7.5,76,Urea + MOP + Organic Manure
wheat,138,48,50,7.0,52,Urea + SSP + MOP
tomato,104,56,103,6.6,61,Urea + DAP + Potash
sugarcane,158,69,115,6.6,71,Urea + DAP + Potash
wheat,110,59,39,6.8,60,Urea + SSP + MOP
tomato,107,65,110,6.2,60,Urea + DAP + Potash
banana,193,40,295,7.2,72,Urea + MOP + Organic Manure
maize,95,54,80,6.9,60,Urea + DAP + Potash
wheat,107,50,32,7.3,53,Urea + SSP + MOP
cotton,89,31,90,7.1,48,Ammonium Sulphate + SSP + MOP
potato,131,98,115,6.3,62,Urea + DAP + MOP
wheat,126,58,37,7.3,57,Urea + SSP + MOP
rice,95,50,87,6.0,63,Urea + DAP + MOP
groundnut,29,61,70,6.0,48,Gypsum + SSP
potato,143,96,130,6.1,70,Urea + DAP + MOP
tomato,110,50,91,6.2,56,Urea + DAP + Potash
potato,145,86,120,6.0,69,Urea + DAP + MOP
potato,136,85,114,5.7,63,Urea + DAP + MOP
groundnut,27,70,68,5.7,50,Gypsum + SSP
groundnut,22,68,63,5.9,46,Gypsum + SSP
sugarcane,141,56,126,6.6,65,Urea + DAP + Potash
cotton,89,46,99,6.9,54,Ammonium Sulphate + SSP + MOP
rice,96,64,86,6.1,61,Urea + DAP + MOP
banana,203,52,305,6.8,75,Urea + MOP + Organic Manure
pulses,42,70,23,6.1,59,Organic Manure + SSP
wheat,118,49,33,7.4,50,Urea + SSP + MOP
pulses,35,69,28,6.4,52,Organic Manure + SSP
tomato,107,53,99,6.2,60,Urea + DAP + Potash
sugarcane,145,57,115,7.4,66,Urea + DAP + Potash
sugarcane,141,69,127,6.7,72,Urea + DAP + Potash
groundnut,28,51,61,6.0,51,Gypsum + SSP
tomato,108,65,103,6.4,55,Urea + DAP + Potash
wheat,113,48,50,6.5,53,Urea + SSP + MOP
tomato,105,52,107,6.8,55,Urea + DAP + Potash
maize,103,58,69,6.3,63,Urea + DAP + Potash
banana,193,51,301,7.0,75,Urea + MOP + Organic Manure
groundnut,22,52,58,6.0,48,Gypsum + SSP
sugarcane,145,55,113,7.1,71,Urea + DAP + Potash
pulses,47,67,35,6.2,51,Organic Manure + SSP
tomato,105,52,95,6.8,55,Urea + DAP + Potash
banana,199,46,310,7.3,72,Urea + MOP + Organic Manure
sugarcane,153,54,122,6.8,71,Urea + DAP + Potash
banana,197,44,297,7.2,75,Urea + MOP + Organic Manure
pulses,49,71,37,6.9,51,Organic Manure + SSP
potato,148,100,110,5.8,67,Urea + DAP + MOP
banana,202,57,294,6.7,72,Urea + MOP + Organic Manure
maize,100,52,69,6.7,57,Urea + DAP + Potash
cotton,89,48,102,6.7,45,Ammonium Sulphate + SSP + MOP
pulses,32,74,33,6.1,57,Organic Manure + SSP
pulses,38,76,24,6.4,58,Organic Manure + SSP
banana,208,57,293,6.5,77,Urea + MOP + Organic Manure
cotton,86,47,104,7.5,47,Ammonium Sulphate + SSP + MOP
rice,87,69,73,6.4,70,Urea + DAP + MOP
groundnut,22,69,63,6.0,48,Gypsum + SSP
banana,208,42,291,7.3,75,Urea + MOP + Organic Manure
wheat,128,53,50,6.9,60,Urea + SSP + MOP
groundnut,29,63,52,5.8,49,Gypsum + SSP
pulses,48,78,23,6.3,51,Organic Manure + SSP
wheat,128,55,40,7.1,57,Urea + SSP + MOP
rice,96,58,84,6.1,65,Urea + DAP + MOP
sugarcane,157,62,114,6.7,71,Urea + DAP + Potash
banana,193,46,294,7.1,77,Urea + MOP + Organic Manure
maize,99,57,64,6.6,57,Urea + DAP + Potash
pulses,50,70,28,6.6,55,Organic Manure + SSP
banana,197,41,292,7.4,75,Urea + MOP + Organic Manure
sugarcane,159,59,122,6.9,65,Urea + DAP + Potash
rice,81,51,75,6.3,64,Urea + DAP + MOP
tomato,119,54,106,6.4,59,Urea + DAP + Potash
cotton,77,41,97,7.0,53,Ammonium Sulphate + SSP + MOP
rice,80,61,77,6.1,66,Urea + DAP + MOP
cotton,81,50,101,6.9,50,Ammonium Sulphate + SSP + MOP
wheat,125,52,35,7.2,51,Urea + SSP + MOP
wheat,102,44,42,6.9,57,Urea + SSP + MOP
banana,190,51,303,7.4,72,Urea + MOP + Organic Manure
banana,199,55,299,7.0,76,Urea + MOP + Organic Manure
potato,138,81,120,6.5,66,Urea + DAP + MOP
wheat,111,59,42,7.3,53,Urea + SSP + MOP
sugarcane,159,64,120,6.8,65,Urea + DAP + Potash
rice,82,50,89,6.1,61,Urea + DAP + MOP
groundnut,24,67,54,6.2,48,Gypsum + SSP
potato,144,90,130,6.4,68,Urea + DAP + MOP
rice,85,59,82,6.7,63,Urea + DAP + MOP
banana,209,40,305,7.2,71,Urea + MOP + Organic Manure
sugarcane,160,57,126,7.4,66,Urea + DAP + Potash
maize,96,65,79,6.2,61,Urea + DAP + Potash
rice,87,52,71,6.6,62,Urea + DAP + MOP
groundnut,24,56,70,6.0,47,Gypsum + SSP
maize,94,60,70,6.1,57,Urea + DAP + Potash
wheat,117,42,32,6.6,51,Urea + SSP + MOP
tomato,100,59,109,6.8,56,Urea + DAP + Potash
potato,135,100,113,6.0,68,Urea + DAP + MOP
rice,91,68,89,6.5,60,Urea + DAP + MOP
wheat,128,45,48,7.3,50,Urea + SSP + MOP
tomato,104,70,108,6.4,61,Urea + DAP + Potash
groundnut,20,65,61,6.0,53,Gypsum + SSP
maize,107,56,60,6.1,57,Urea + DAP + Potash
wheat,112,48,50,6.9,57,Urea + SSP + MOP
pulses,50,64,30,6.7,50,Organic Manure + SSP
maize,99,53,63,6.5,61,Urea + DAP + Potash
wheat,125,42,48,6.6,52,Urea + SSP + MOP
potato,135,97,121,6.5,61,Urea + DAP + MOP
tomato,116,58,91,6.7,64,Urea + DAP + Potash
wheat,130,50,37,7.2,60,Urea + SSP + MOP
potato,140,92,126,5.6,69,Urea + DAP + MOP
pulses,45,74,35,6.5,51,Organic Manure + SSP
rice,84,68,73,6.1,62,Urea + DAP + MOP
maize,99,70,70,6.5,63,Urea + DAP + Potash
wheat,135,51,42,7.3,58,Urea + SSP + MOP
potato,146,83,126,6.2,70,Urea + DAP + MOP
pulses,48,70,23,6.1,57,Organic Manure + SSP
rice,95,58,70,6.0,68,Urea + DAP + MOP
rice,95,66,78,6.6,67,Urea + DAP + MOP
pulses,35,70,28,6.4,50,Organic Manure + SSP
banana,210,43,303,6.8,74,Urea + MOP + Organic Manure
banana,194,43,302,7.2,71,Urea + MOP + Organic Manure
potato,137,97,130,6.4,60,Urea + DAP + MOP
pulses,40,64,23,6.3,52,Organic Manure + SSP
groundnut,23,51,61,6.3,50,Gypsum + SSP
banana,204,48,303,7.5,77,Urea + MOP + Organic Manure
wheat,109,59,33,7.3,59,Urea + SSP + MOP
groundnut,24,55,69,5.8,48,Gypsum + SSP
groundnut,23,56,55,5.6,52,Gypsum + SSP
maize,108,58,69,6.8,64,Urea + DAP + Potash
wheat,133,50,42,6.5,51,Urea + SSP + MOP
cotton,86,48,102,6.9,46,Ammonium Sulphate + SSP + MOP
banana,209,58,294,7.2,75,Urea + MOP + Organic Manure
maize,94,68,72,6.6,63,Urea + DAP + Potash
potato,131,95,124,5.5,70,Urea + DAP + MOP
cotton,83,39,98,7.2,46,Ammonium Sulphate + SSP + MOP
banana,193,53,300,7.2,70,Urea + MOP + Organic Manure
sugarcane,145,66,117,7.2,65,Urea + DAP + Potash
pulses,46,76,26,6.2,54,Organic Manure + SSP
sugarcane,158,51,114,6.9,72,Urea + DAP + Potash
rice,97,61,79,6.6,70,Urea + DAP + MOP
potato,150,87,111,6.3,62,Urea + DAP + MOP
groundnut,30,57,63,6.3,55,Gypsum + SSP
rice,93,60,72,6.8,68,Urea + DAP + MOP
tomato,106,52,98,6.5,60,Urea + DAP + Potash
potato,132,100,120,6.0,70,Urea + DAP + MOP
potato,141,98,122,5.8,69,Urea + DAP + MOP
sugarcane,145,64,111,7.4,66,Urea + DAP + Potash
pulses,36,65,29,6.9,50,Organic Manure + SSP
cotton,76,43,100,6.8,46,Ammonium Sulphate + SSP + MOP
wheat,100,50,37,6.8,51,Urea + SSP + MOP
pulses,41,60,22,6.6,59,Organic Manure + SSP
sugarcane,154,59,128,6.9,75,Urea + DAP + Potash
maize,97,51,65,6.0,62,Urea + DAP + Potash
groundnut,20,62,65,6.1,51,Gypsum + SSP
banana,205,50,292,6.8,79,Urea + MOP + Organic Manure
tomato,100,57,102,6.3,60,Urea + DAP + Potash
maize,103,66,68,6.5,65,Urea + DAP + Potash
sugarcane,151,60,117,7.1,72,Urea + DAP + Potash
maize,108,68,71,7.0,62,Urea + DAP + Potash
potato,141,87,118,6.1,65,Urea + DAP + MOP
potato,145,89,128,6.1,65,Urea + DAP + MOP
sugarcane,147,59,130,6.8,71,Urea + DAP + Potash
tomato,118,63,96,6.3,61,Urea + DAP + Potash
tomato,106,63,94,6.7,56,Urea + DAP + Potash
maize,102,69,73,6.2,60,Urea + DAP + Potash
cotton,74,44,97,7.3,52,Ammonium Sulphate + SSP + MOP
pulses,44,70,38,6.7,51,Organic Manure + SSP
wheat,119,49,48,6.9,52,Urea + SSP + MOP
rice,90,63,90,6.6,66,Urea + DAP + MOP
banana,202,42,309,6.9,75,Urea + MOP + Organic Manure
wheat,116,44,41,7.4,53,Urea + SSP + MOP
wheat,135,41,34,6.9,60,Urea + SSP + MOP
groundnut,27,55,70,5.8,55,Gypsum + SSP
cotton,75,46,101,7.2,50,Ammonium Sulphate + SSP + MOP
pulses,33,77,36,6.7,55,Organic Manure + SSP
banana,201,43,304,7.0,74,Urea + MOP + Organic Manure
pulses,36,76,40,6.2,57,Organic Manure + SSP
groundnut,21,54,59,6.1,53,Gypsum + SSP
pulses,30,71,30,6.3,56,Organic Manure + SSP
rice,90,51,90,6.6,63,Urea + DAP + MOP
rice,83,50,85,6.5,67,Urea + DAP + MOP
banana,200,56,310,7.5,80,Urea + MOP + Organic Manure
tomato,106,69,98,6.8,59,Urea + DAP + Potash
cotton,70,30,102,6.6,45,Ammonium Sulphate + SSP + MOP
groundnut,27,62,54,5.6,55,Gypsum + SSP
cotton,83,34,100,7.1,51,Ammonium Sulphate + SSP + MOP
potato,139,89,112,6.2,70,Urea + DAP + MOP
wheat,114,44,50,7.3,55,Urea + SSP + MOP
wheat,111,42,41,6.7,53,Urea + SSP + MOP
cotton,87,30,100,7.2,46,Ammonium Sulphate + SSP + MOP
maize,91,66,66,6.9,65,Urea + DAP + Potash
rice,96,62,76,6.3,66,Urea + DAP + MOP
potato,135,97,123,5.7,61,Urea + DAP + MOP
banana,196,49,294,7.4,75,Urea + MOP + Organic Manure
pulses,39,67,24,7.0,55,Organic Manure + SSP
tomato,109,53,97,6.7,61,Urea + DAP + Potash
tomato,109,60,91,6.7,61,Urea + DAP + Potash
potato,140,92,117,5.8,61,Urea + DAP + MOP
cotton,70,34,109,7.1,49,Ammonium Sulphate + SSP + MOP
rice,84,57,74,6.6,66,Urea + DAP + MOP
wheat,116,55,47,7.0,50,Urea + SSP + MOP
groundnut,22,55,53,6.2,47,Gypsum + SSP
banana,203,40,303,7.2,73,Urea + MOP + Organic Manure
sugarcane,145,65,120,7.0,69,Urea + DAP + Potash
cotton,84,42,110,7.3,50,Ammonium Sulphate + SSP + MOP
sugarcane,144,65,128,7.4,75,Urea + DAP + Potash
cotton,87,50,93,7.0,45,Ammonium Sulphate + SSP + MOP
sugarcane,159,63,118,7.4,68,Urea + DAP + Potash
sugarcane,160,53,120,6.9,68,Urea + DAP + Potash
pulses,42,78,29,6.2,57,Organic Manure + SSP
banana,190,41,305,7.4,77,Urea + MOP + Organic Manure
rice,82,56,74,6.5,69,Urea + DAP + MOP
rice,83,57,71,6.8,62,Urea + DAP + MOP
pulses,40,66,35,6.9,52,Organic Manure + SSP
sugarcane,156,70,124,7.1,74,Urea + DAP + Potash
sugarcane,151,64,125,6.5,68,Urea + DAP + Potash
wheat,106,58,42,7.5,55,Urea + SSP + MOP
pulses,38,71,20,6.5,59,Organic Manure + SSP
rice,89,70,83,6.4,63,Urea + DAP + MOP
cotton,88,49,102,7.0,52,Ammonium Sulphate + SSP + MOP
tomato,115,50,91,6.1,59,Urea + DAP + Potash
potato,133,97,111,5.8,67,Urea + DAP + MOP
maize,92,63,62,6.6,61,Urea + DAP + Potash
banana,198,58,294,7.4,74,Urea + MOP + Organic Manure
